Labels,x,y
etiqueta1,0.942009733,0.570371203
etiqueta2,0.63661536,0.100229774
etiqueta3,0.660269123,0.861903042
etiqueta4,0.328440106,0.772121719
etiqueta5,0.339103449,0.094102399
etiqueta6,0.593329291,0.436605356
etiqueta7,0.869947661,0.150830451
etiqueta8,0.873339632,0.65772852
etiqueta9,0.412146263,0.68913225
etiqueta10,0.014997647,0.121950945
etiqueta11,0.434143966,0.637864596
etiqueta12,0.32777869,0.755083996
etiqueta13,0.992808348,0.954662686
etiqueta14,0.559431503,0.167278459
etiqueta15,0.62851064,0.790769835
etiqueta16,0.805829557,0.218300474
etiqueta17,0.726245192,0.217413229
etiqueta18,0.196501411,0.130104542
etiqueta19,0.559277503,0.545662362
etiqueta20,0.304907631,0.017465574
etiqueta21,0.246020642,0.517855611
etiqueta22,0.637346304,0.025526646
etiqueta23,0.023863676,0.568255195
etiqueta24,0.462981054,0.177554534
etiqueta25,0.786562062,0.000121622
etiqueta26,0.832693031,0.146235835
etiqueta27,0.311013646,0.995340163
etiqueta28,0.461507111,0.856521159
etiqueta29,0.461127611,0.995318048
etiqueta30,0.004942104,0.936567665
etiqueta31,0.722003925,0.831269011
etiqueta32,0.914144685,0.222010512
etiqueta33,0.562405452,0.059941652
etiqueta34,0.656665334,0.407666853
etiqueta35,0.503887296,0.094785539
etiqueta36,0.854280802,0.901060354
etiqueta37,0.276009437,0.24952441
etiqueta38,0.21366083,0.778850533
etiqueta39,0.570154328,0.539607328
etiqueta40,0.988480024,0.314405504
etiqueta41,0.392300956,0.498617522
etiqueta42,0.29537159,0.411296847
etiqueta43,0.565063782,0.517419368
etiqueta44,0.502211161,0.987609834
etiqueta45,0.266788711,0.940044333
etiqueta46,0.912821279,0.029005966
etiqueta47,0.467069201,0.492181059
etiqueta48,0.816180144,0.927936148
etiqueta49,0.37029208,0.423539322
etiqueta50,0.349288412,0.474614848
